Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
count,250.0,250.0,250.0,250.0,250.0
mean,170.51081576538087,171.8035918254368,168.9626656303138,170.22227159032727,59223547.6
std,17.340362284261953,17.27220926085127,17.53869987763829,17.536309015475293,17783316.557096258
min,123.16194152832031,125.87107085400619,122.32459400935494,124.13721717054082,24048300.0
25%,159.94701766967773,160.21837154002958,158.55340893868618,159.39696970626102,47812075.0
50%,173.60462188720703,175.1380967416717,171.9870540116225,173.37706053497948,55110850.0
75%,185.42668533325195,186.05987223973395,182.95415468669705,184.5646093534972,65742925.0
max,196.25656127929688,197.75242887078264,195.15694409646994,196.16740691178524,154357300.0
